mice	mouse:5	mouse:7	mouse:8	mouse:9	mouse:107	mouse:110	mouse:154	mouse:187	mouse:211	mouse:212	mouse:303	mouse:316	mouse:381	mouse:470	mouse:493	mouse:511	mouse:519	mouse:584	mouse:792	mouse:793	mouse:794	mouse:795	mouse:797	mouse:798	mouse:799	mouse:848	mouse:850	mouse:901	mouse:902	mouse:904	mouse:905	mouse:908	mouse:909	mouse:910	mouse:973	mouse:976	mouse:978	mouse:979	mouse:980	mouse:981	mouse:986	mouse:991	mouse:1017	mouse:1370	mouse:1371	mouse:1380	mouse:1390	mouse:1398	mouse:1407	mouse:1408	mouse:1410	mouse:1411	mouse:1413	mouse:1417	mouse:1426	mouse:1438	mouse:1460	mouse:1462	mouse:1463	mouse:1464	mouse:1465	mouse:1466	mouse:1467	mouse:1469	mouse:1472	mouse:1473	mouse:1477	mouse:1478	mouse:1481	mouse:1495	mouse:1499	mouse:1500	mouse:1501	mouse:1503	mouse:1504	mouse:1508	mouse:1509	mouse:1510	mouse:1512	mouse:1514	mouse:1522	mouse:1523	mouse:1524	mouse:1529	mouse:1530	mouse:1531	mouse:1533	mouse:1535	mouse:1537	mouse:1538	mouse:1540	mouse:1543	mouse:1544	mouse:1546	mouse:1547	mouse:1548	mouse:1551	mouse:1552	mouse:1553	mouse:1570	mouse:1571	mouse:1572	mouse:1574	mouse:1575	mouse:1576	mouse:1577	mouse:1579	mouse:1580	mouse:1581	mouse:1600	mouse:1604	mouse:1605	mouse:1617	mouse:1624	mouse:1634	mouse:1635	mouse:1636	mouse:1638	mouse:1641	mouse:1650	mouse:1652	mouse:1665	mouse:1668	mouse:1671	mouse:1674	mouse:1679	mouse:1698	mouse:1701	mouse:1720	mouse:1725	mouse:1729	mouse:1732	mouse:1734	mouse:1739	
mouse:5	8.396394210679755	4.268851838856859	4.20318652361632	4.781155880283684	5.597411549859068	4.8439276596691325	3.815771477633507	4.040712714147292	4.048501596461241	4.730134610538437	4.396757931801117	3.722924467127549	4.242400206995034	5.886117988964062	5.280137364530155	5.341739719160756	3.62336512991419	4.396564444499955	5.522098359554269	4.023945000806305	3.6724831611619067	3.6344048680835277	4.6211813951425444	4.087087400707377	4.907840410630792	4.5254327269732775	3.6728398789903833	4.455564035894115	4.887519891285352	4.38703822001469	4.8148511090450254	4.149502366042796	5.4271315088920495	4.833627676521254	6.042058007089196	4.744693597698337	5.41575958925003	4.19564420532531	4.482627238247275	5.025005836279851	3.948826620387615	3.7699904253316143	5.370235649719987	6.162665875306709	5.814232775917549	4.683473298055997	5.4259062102446585	5.047266438096284	4.6093798675219135	5.9676769895254544	4.838917854859737	5.491585820158036	5.471884641811494	4.358178944216439	5.669714837654379	4.911677739278735	3.970635526740857	6.299999721240468	4.5881207130645825	5.909283354720153	4.619047264311007	5.134179538295921	2.417522553785141	5.31747217739383	4.883755838613639	5.713462856357056	5.381578277479587	4.412038688476683	4.59254125274816	5.449647104230653	5.069990896569649	5.569918994763775	4.180103663074686	4.87095115494532	4.416366794280517	5.348573119589758	4.961157024033571	4.48598146178705	4.853051550211582	5.0402456409644	5.884372364612388	4.725481509288969	5.077221029749435	4.675891776969589	5.7010908350374905	4.514705157052749	2.417522553785141	4.966230538873086	5.331973363846213	4.945652385542602	6.03946113716329	5.452870980944237	4.892059199724121	4.761083333546881	5.0769875134626545	5.232666490051489	4.565029962274563	6.057020988151191	4.7319626595208	4.4401279490086045	5.0691012590460085	4.734171662002286	4.520026319842313	4.650524576871765	5.429406776174087	4.758023223903541	5.158974299013072	4.823116558236919	4.633777381288198	5.02376068308702	5.085384025728548	5.872092472612607	4.902110613363041	5.161355662823923	6.125068973040781	5.158809823544246	4.554558912528949	5.392123240192548	5.035223046547403	5.711356607108554	5.187363998085204	5.509993768303962	5.138087373457469	4.234264566770168	4.460999074063341	4.533998344387006	4.213168781330477	5.4701020811527155	5.43626715138193	4.6307485691762835	4.313602173535722	4.246084537602345	5.3955388849363075	5.13925237260432	
mouse:7	4.268851838856859	8.36580917226351	4.919675494728962	4.459969861815954	5.2621050939695015	5.979554617708402	4.247054761375076	4.663912855105439	5.697089049410096	6.607112782048608	4.4391706937813815	4.291405224567825	4.280600271264925	5.230332920607324	4.744144077712663	4.798895062961945	4.217616661104822	4.848276326242072	5.134693593005027	4.63149544720232	4.915603305443625	4.200206187207543	6.349610098208293	4.8238429665653975	5.529666751077644	5.288993693921567	6.025618890041015	5.679614133019335	5.445856913505574	5.431641821993477	5.02199761442194	5.431480760876747	5.64749378129289	5.293398552686163	4.054705663570272	5.179921035860895	5.1060517216264305	4.27894440777614	5.370126530692545	5.444294429734658	6.1753583777381	5.60181140223933	5.658075932307792	5.078428957258124	4.964907442428986	5.6199012736597584	5.582690350708683	5.385431905108112	5.358024397136473	4.5946809999410085	4.840445162768195	5.002286068244621	5.846439163766807	4.417018740376026	5.16018849503536	5.731943343830721	4.740883040945983	4.545681935312117	5.484563242400666	4.713714556956816	5.815233873418345	5.001450386009154	2.417522553785141	5.648156899694174	5.277286224937566	5.89748715386632	5.766860985596649	5.676628941868663	5.8924124943668925	5.499107341684511	5.802707871893253	5.570596710428463	5.429736228589531	5.290314004742149	5.132302435368695	5.374884247516274	5.609282974013322	6.0186722322457324	5.920037645237879	4.767141259761651	5.895603520287693	5.3423169353802	5.156035847217484	5.733474797242893	4.720935744286763	5.447211984606083	2.417522553785141	5.620371866456533	4.745962066624468	4.974951449265441	5.451264888677867	5.029655921978505	5.985087440788128	5.662280302172071	4.25616157593412	5.348421521340033	5.100511195469623	5.523104541114799	6.331710326107844	6.211046289686731	5.160670005618276	5.650562575285103	5.3883401405691425	5.384379201281751	5.896895952527537	5.907445179528747	4.546583307292316	4.5319166588233	5.646977962449126	5.777948784948615	5.221303844201153	5.641863473745837	5.608954391201796	5.667661450093377	5.778555092478744	6.166996660511574	5.939757872360964	5.351432729683892	5.2944773161798615	5.525673989990153	5.346337679157041	5.616718142921176	5.1994924344033935	5.304255672157808	6.231564469550619	5.974001321525844	5.609128422958311	4.624713957641754	6.312361519776948	5.389716432200568	5.400461990413978	5.46048980802441	5.697903850990144	5.1252297471736545	
mouse:8	4.20318652361632	4.919675494728962	8.355670996241848	4.052750453655925	4.782946196472672	4.788427243290412	5.291109305610003	5.802268947146448	5.3367880905122576	5.143155100078992	5.475991913627794	4.727502696952734	5.217449526085069	5.198585852184182	4.5133178809557615	6.277380561560151	4.2513313637896	3.7397679884117077	4.437903546703846	3.967935795754493	4.377369335844288	4.734430602785986	5.507102575073277	4.394216609499422	4.303984760303984	4.141140564857784	4.460925585018012	5.0272952576462	5.374202916690244	4.866267228400721	5.450445848156587	3.9727853479726924	4.9428794764944435	4.501717065644532	3.4420372943861084	4.7390480120675855	4.543357294953244	4.951850170038593	4.540389789839184	5.243280810942425	4.7778517931130935	5.221835877037569	4.478055912417558	3.565095564781206	4.509669053715674	5.047756588287735	5.344693147488272	4.818709071081452	4.62491131618949	4.597661997595351	4.173957162374596	4.377372015128628	5.249013522298687	3.926834826788613	4.909263596027941	5.8723144199277755	5.326904127103541	4.100160269667491	4.98289436059153	4.425309527374892	5.584663712893745	4.097046154171063	2.417522553785141	5.137917562589454	5.213271593959954	5.1759215377553955	5.616041121063748	4.7258793361062486	4.179432671142127	4.976583627817448	5.184253323394648	4.716152654202666	4.686759181797726	4.4312891379497925	4.436983159231246	4.409180465723259	4.646943494589484	3.692282778976594	5.049258457482305	4.080718139748821	5.244660739312529	5.37935293876781	5.027615395269443	4.934030065391116	4.332216806296415	4.913348330864637	2.417522553785141	5.124301154967766	4.270586592379219	4.71794260453173	4.9227884999960505	4.346584780027866	5.124335539195107	4.449606687201615	3.0139961657013608	4.927153263816713	4.274161033553882	4.8451882832335915	4.869354828657231	4.416543887253874	4.722420120589108	5.201582490934531	4.448888712506161	4.945391112090777	5.541404225397821	5.241694176932581	4.427517102088678	3.9964452223379574	5.18056136435381	5.207721441449116	4.409940609605666	4.417267160561968	4.70547755772697	4.807262599528629	5.088376039418732	5.099468479013348	4.725156915783832	4.352078959844464	4.896874537452783	4.2117902909679525	4.775822838252219	5.184965307650886	4.209335040032718	5.025382668025621	5.321792506680296	5.011688002187613	5.409745164990622	4.273024038221082	4.739648971391854	4.9162852859181045	4.950028086952134	5.281911840650418	5.000118398160776	4.20724141557433	
mouse:9	4.781155880283684	4.459969861815954	4.052750453655925	8.328507582547678	5.106730893341392	5.137034575428432	5.629982223936002	4.569451011733868	4.36516671994695	5.190473450093585	4.586362965864688	3.9294027134261693	4.616235077859066	5.972711670198779	4.87197444323489	5.127362160016023	3.920974590619522	5.406043307929032	4.592603758148919	4.779495976869979	4.98100497491393	4.676437948318745	5.289801086430222	4.914960507607878	5.060533557745622	4.975126225782467	5.20968035566584	6.006378161901284	5.516237690537564	6.064400552235345	4.959969586017018	6.073550747963269	5.095610198530316	6.015519368290928	4.623375499652395	5.275364426944295	5.638249298747423	4.104906278097204	5.258212910709972	4.871255189879388	5.107461893111539	3.885186720441996	5.187529675512556	4.56818799502317	5.35808065741827	5.260951636774566	4.323653859169973	5.045564385700246	4.919468060679407	4.5295771456446285	4.589632457915186	5.237797366709642	4.910158907656165	4.904272146188414	4.883189509331427	5.698812669069621	5.559646390371819	4.509681623714716	4.984240882512468	5.207717755949414	4.5975647705351275	5.27108846130429	2.417522553785141	5.106538400588347	5.297292180317949	4.950878196325528	4.888072159748447	4.425517854633742	6.0652414256580265	5.07553883664882	5.44581961906211	5.5620077477390755	4.001386107159608	6.11198922172658	5.418804524021201	4.534105283974035	5.057677701571336	4.6739456361429115	4.7850403944631985	4.742672311458536	5.271156893731334	4.956142824119594	4.946351392810342	5.30163627624818	5.205779549421933	5.034802669144225	2.417522553785141	4.313267869213421	5.556867034627697	4.647263622289207	5.063442273468234	6.271565296072303	5.824297020724387	5.318742521744065	4.74025498943486	4.678126922947676	5.155096069387371	5.160152200756221	4.768933282167499	4.579487873668111	4.582303168707943	5.048843871570096	5.127655907584035	4.913359751122606	4.709819423867322	4.77442354759043	5.534814789494909	5.083396179199626	5.247576757937267	5.644176971040176	6.372859799729836	4.985583739199918	5.613849161350336	5.225983066309028	5.084949548582643	4.904625324469165	5.78671180768364	5.169036925715703	4.900682996739684	4.8664086796847785	4.839371197972781	4.3355272988638625	5.094760464799174	4.16930317802424	4.894209861530166	4.752982342973119	4.27279548931426	4.519860450220509	5.080157838681176	5.274830702499541	4.440789712173997	4.457467754327216	4.884910479604875	5.4700520710750205	
mouse:107	5.597411549859068	5.2621050939695015	4.782946196472672	5.106730893341392	8.310619317563164	5.684653567127996	4.67122869585572	5.0164709163103005	4.835441076127067	5.732071231299914	5.007222149960332	4.230300955827266	4.984228617998417	6.392107285832681	5.556354367941134	6.878477670662557	4.062166769796918	4.864394363965182	5.668635502920125	4.548264120666538	4.0311791437040165	4.587155287145415	5.241595925026948	4.827386939805481	5.496614327491235	5.072021037058303	5.375365379138379	5.6893570458899605	5.742195943784283	5.344533822968122	5.103799585045571	5.548941289721286	5.881868319942647	5.1179943571152196	5.082489329382643	6.0001026429050945	5.570355280362127	4.845953347081677	5.3851763886644	5.2565845004031	5.246506122105613	4.803298197218404	5.170291909849599	5.061169134254893	5.963266418121069	5.872218592191263	5.81351011269493	5.218237201195142	4.897277878409093	5.679054187532767	4.292492505146958	5.054204177465621	5.417708753395514	4.900565868089239	5.8026654800856425	5.702109959036417	5.607770578646578	5.483668776543033	5.2945247751545015	5.412396048187695	5.496726035579925	5.5020942394965555	2.417522553785141	5.616117597743084	6.470206696513543	5.342584382618208	5.9119358895654175	4.521256240443112	5.179464661070284	5.859905883065036	5.948427778698184	5.4317040570910216	4.809438428654582	5.988084005139937	5.077793314483587	4.925683704978727	6.5583134705245305	5.09123939913059	5.629199195004299	4.919490057704246	5.573824020734971	5.247755375732861	6.180553123882891	5.931440082797091	4.953179222388458	5.264260267030052	2.417522553785141	5.6597197036179585	5.678548794669972	5.333706310180977	6.0705822060262005	5.797000806226606	5.520415729467033	5.047693383631873	5.063475057246931	5.831716708687086	5.573360156722142	5.486388846907053	5.188720541802485	5.263332146004782	4.839855170300712	5.01656358493789	4.99767678151958	5.496608569486014	5.60847507725391	5.498063786466487	4.612917875530446	5.132161211685276	5.4315048975241265	5.579629969690767	5.9106526020243475	5.346627949374232	5.812529848590368	5.772583627939222	5.8372458028945395	5.304683688706386	5.923140082840293	5.476198531340035	5.619125442517276	5.610592743233381	5.856578167078412	4.92704898483508	5.306117929771467	4.738570114420165	6.249178157115871	5.436483864651212	5.6572835763382505	5.095865148531045	5.231249899847498	5.674848961292806	5.086980848574749	4.934293605645949	5.88490252454881	5.428587320353778	
mouse:110	4.8439276596691325	5.979554617708402	4.788427243290412	5.137034575428432	5.684653567127996	8.383224753944635	4.331616213963635	4.0031375157564915	5.352404345509507	7.148683139506439	4.921590536808081	4.2333681196888975	4.329446016390879	5.62750630268841	5.368444722403654	5.02515424262743	3.6406408935838295	5.063753365053971	5.306472866721444	5.465836851943056	5.453242967724092	4.5676608201066955	6.10157364075525	4.578022549221766	5.34028306393142	5.19615863623491	5.708267278139758	5.44838107632694	5.475578345497771	5.713666002037776	5.052121115738219	5.482807031414126	5.6571828134818745	5.7701956580226295	4.694427637968826	5.709827150331925	6.120455414907735	4.854903415352075	5.459200401721002	5.959979239139626	5.9218384477131245	5.688329037231985	6.090086906245919	5.085849953311545	5.888205308673353	6.187398032303575	5.832091861334895	5.700635919368714	5.371629073557394	5.22392169392486	4.931934578447143	5.05121796895639	6.130115359575019	4.59014331882297	5.796195106554699	6.61712114289573	5.036959344590116	5.054705368219806	5.64593173980918	5.195384999559673	6.274918301287661	5.30085024162214	2.4175225537851404	5.905805874005313	5.597210199575109	6.066029093839561	5.761293288716967	5.740607508023764	6.2283195157491775	5.977558892992114	6.760926651711142	6.019433013094294	5.698414962544283	6.483122207733999	5.183261576206324	5.719015483867061	6.004066720902845	6.0135455895326135	6.393754728952471	4.849908728561366	6.185470547765583	5.361596291444364	5.313322629539295	6.155889034393149	4.955920240688721	6.356857957005264	2.4175225537851404	5.788445714870668	5.574707948020411	4.887859581861383	5.998333517221072	5.2950849268334474	6.364435746238845	5.891689909656462	4.776617748394482	5.60667313275988	4.93194648941183	5.8649195566219126	6.013977235117176	5.828217970959934	5.384394396631448	5.718326943722804	5.635588765441592	5.389324322187144	6.118602027439297	5.764653861099494	4.76603036493272	4.420209761636227	5.873102570296389	5.820135702046557	5.838403913219217	6.279159185868739	6.465842561411557	6.342284868678298	5.9820663951839546	6.01665442314	6.477243942231761	5.952404423728325	5.727899779092132	5.784562683768982	5.839434323558931	6.076165800728104	5.835597608630108	5.626309517423289	6.481162759534058	6.212112754719617	6.187454909155128	5.400740672570107	6.642741015161019	5.835298444380452	5.222077089001267	5.976582021287069	6.098702731065003	5.614265464431999	
mouse:154	3.815771477633507	4.247054761375076	5.291109305610003	5.629982223936002	4.67122869585572	4.331616213963635	8.313571231105348	5.581126741758279	4.367018852096221	4.59705494648181	4.213595930883738	4.003327595321969	5.438068916525643	5.749907819491204	4.081718028888215	5.0632562174996	4.594223185838992	4.870051763037712	4.244184678159183	4.2595083657276005	4.812662017101614	4.789853302691705	4.837747594647558	4.889298054507524	4.302546669150114	4.626958592016685	4.565230782943678	6.044138795964594	5.531529487915387	5.586275042212441	5.370749645895017	5.654239236730935	4.677825544614435	5.501518751683001	2.578925821187699	4.579525118689581	4.553946281293662	4.773345828797605	4.384739125887048	5.335342367683582	4.820817632422905	4.032758500792266	5.169175136273505	3.14471969374976	4.537093709812714	4.589023782002485	4.225642320656916	4.854212383429011	4.810759049710654	3.337688724229486	4.506569130619937	5.150849673261714	4.423536636256823	3.6602659918208738	3.8300231662457405	5.728987937347217	6.306364037952255	3.187749744137845	4.588804224253274	4.759929499823511	4.447044024092003	4.300882239748254	2.417522553785141	4.757792327287179	5.185832975148409	4.378804445320092	4.766688906310691	4.285259114924845	4.23653521453671	4.924235755139581	4.390842339566117	5.169533005987752	3.473767376709022	5.154709679072841	4.9176563341961606	2.97069715646695	4.345424933017021	2.417522553785141	4.318070846676399	3.470974592245065	5.215174221996954	5.584949680473812	4.729711814625524	4.34611474791662	3.373370758194791	4.333782601185222	2.417522553785141	4.941471056266978	4.801900759326607	4.270174156888296	4.681876472424154	5.3251120746972	5.267094650836572	4.7206636082332905	2.717461994794379	4.686114076456797	4.496139253255702	4.845681483931874	5.096258748365714	3.9507188610641646	4.6384945396932995	4.985040746649764	4.80882853513009	5.351098754141937	4.815301443208275	4.408821847263791	4.768648969414518	3.4555907761292475	4.7870788068385	4.405316030843205	5.081823920024117	4.458973544099577	4.579198935405421	4.904514349477689	4.52580302301085	5.207578530844689	5.139564504106337	2.7723180072449214	5.021016396325627	4.0975149092833085	4.4417957570959645	4.545904192458863	4.307956796356741	5.142714330450721	4.535404228603357	3.914330221223041	4.345424933017021	4.138448726656091	4.180147002097415	5.610221478104934	4.428765424642895	3.924817121920542	4.756176390550266	4.250101594338135	
mouse:187	4.040712714147292	4.663912855105439	5.802268947146448	4.569451011733868	5.0164709163103005	4.0031375157564915	5.581126741758279	8.388681051294656	5.003066446468685	4.3889135518289955	4.870007357935375	5.01638433432281	5.241354989415834	5.317056032065478	4.713675444481977	5.930373578823686	5.158342470435806	4.540602347421064	4.570817145626357	3.8748647570349366	4.992111514643716	6.010387499922485	5.666099861787449	5.5103632518140095	4.180556614024259	4.2993603942478	4.5587629035641335	5.209386199825165	5.183341521644163	5.1067079822192305	4.541204593939044	5.338896829232896	4.282279472264037	4.405378324815645	3.780835692969247	4.416141832052297	4.60127187609258	4.57469820220753	4.082244770628755	4.554649428109869	4.2017673378127665	4.964360294339825	4.204898635146925	3.76917306931274	4.193820151367942	4.373254411270468	4.53673123092508	4.346359631219624	4.486196558990921	3.842338524951653	4.286465676056784	3.9706158840641583	4.39319041925441	4.341679450309666	3.9359649783981183	5.043943439151042	5.894861843472899	3.5176980024916467	4.707524373163	4.694979610780505	4.584022327979971	4.128833932321646	2.417522553785141	4.150501179793292	4.868880116295609	4.7026881189251	4.775264104840527	4.325946510242981	4.319099040819272	4.6416094803211205	4.497365673509043	4.8170342584023755	3.6478637178429585	4.518880336692237	4.603843723753503	3.639067421271223	4.294692796507164	3.2407773211855986	4.537320814125209	4.134568406196185	4.364056367332987	4.982602486777716	4.880950940084499	4.268235001105339	3.610243441134526	4.34075223846655	2.417522553785141	4.431850806147827	4.467606449132884	4.851420290102591	4.220378859400727	4.679484308786992	4.267013247389524	4.192762401487623	2.812034383706764	4.167155129288229	4.672207021001615	4.572249315781038	4.44006510790436	3.9990372069940867	4.3015766922587115	4.690975816916237	4.1685701651808795	4.405553074856638	4.536499118205121	4.871796211745744	4.539757093138746	3.932892836520339	4.665558983689282	4.815792736637551	4.19490712249506	4.646059569980531	4.225603867509914	4.3330760296584945	5.0656738607204	4.7495170947972385	4.430179227954038	3.54589695539549	4.832866235506991	4.119595089077224	4.560451701259841	3.827923145786831	4.231948774139726	4.6262636451666515	4.782547083538615	4.617501902342292	4.629187084495259	3.907243162791159	4.330493898250019	4.832517109320152	5.371337282344178	4.349531218999957	4.741337557459263	3.9241299369196767	
mouse:211	4.048501596461241	5.697089049410096	5.3367880905122576	4.36516671994695	4.835441076127067	5.352404345509507	4.367018852096221	5.003066446468685	8.387433536167578	5.530779176027147	5.046987095205066	5.327076748287156	4.777254293169677	5.302683953270112	5.427471796162289	4.969455286546078	5.051209388440073	4.849931244413934	5.355711305508697	5.446885316649016	5.593489891453599	4.856472013778627	6.125301676815929	4.669370772990866	5.487531331856504	5.386267339257064	5.42989136262523	5.585703433908208	5.743857977625546	5.222029541948325	5.274189300633852	4.818867797219854	5.168508589862778	5.2325306049865326	4.070473837623701	6.135516403187291	5.59941783845127	5.502623640703522	5.131423473455172	5.207893120972834	5.287820000172195	6.630014232008799	4.875289480562473	3.542667797051452	5.206155654723268	5.84887038429944	5.625832551809995	5.662682661211084	4.966794822655713	4.791660833246949	4.894397303506527	4.564685721185107	6.244714838640252	4.807784383020517	5.197132728250499	5.585361532139482	4.420744730590373	3.9065964405023754	5.686062749201209	5.021561283796622	5.4512085496505716	5.290454569201494	2.417522553785141	5.560415576375412	5.394794222463411	5.789215440438092	5.7883910092300255	4.919900854187886	5.655126971554324	6.059024017304987	5.943895338706515	5.77772775069479	4.400561826978367	4.895977944411344	4.912630324795284	4.966331895760472	5.137191127687931	5.084133569100863	6.457436812453535	4.836317663928302	5.683416190342889	5.319225455563247	5.8435479718403265	5.8148080139442495	4.83813343568942	5.787736946534803	2.417522553785141	5.5321826553925355	4.899860605739462	5.018711017068373	5.089037616270616	4.944582474972625	5.40616914245337	5.800790914041757	3.5232339419582184	5.533511485759066	5.04559859235709	5.7355041430348646	5.571814944341541	4.844152480734854	5.201300424706329	5.955946812321178	5.775216159897994	5.255258372778226	6.00980501018422	6.090135059899096	4.850770633219586	4.047657145201024	5.468884275191908	6.175355444791418	5.012418946672595	5.474158814442816	5.74764934005697	5.828443731016549	5.838149889580409	5.652680712590293	5.400618031026922	4.6476274793023205	5.7824095720490325	4.984010577083517	5.849133289564984	5.296924847712411	4.938113663235564	4.981380665679333	5.948643652340163	6.085628214205251	5.80688286711738	4.10915997791778	5.871179883943898	5.192133835479578	5.868873586599724	6.160325260958653	5.626994334750906	4.866680091454834	
mouse:212	4.730134610538437	6.607112782048608	5.143155100078992	5.190473450093585	5.732071231299914	7.148683139506439	4.59705494648181	4.3889135518289955	5.530779176027147	8.367240841078795	4.6820124436613515	4.368774038178343	4.7046967623550096	5.723419855487382	5.553609005277442	5.060134731246294	3.749805506003349	5.24891764792776	5.714548664514796	5.6300263838054105	5.654821498562624	4.309481180623715	6.620468392990186	4.734403218722646	5.53551829027614	5.224090820532885	5.978306157826127	5.753853839250414	5.86435850107632	5.783148595496277	5.346361041164036	5.7830748556939024	5.9690860130079635	6.105233610881824	4.690878340806842	5.777092254422042	5.961725811134201	4.811708830023976	5.527624192585753	6.133528563119357	6.249598083969181	5.8712643707963155	6.198856111256159	5.222058192875082	5.962620038848792	6.071697455064002	6.167728170097315	5.590753567203635	5.662627467436777	4.915096728668892	5.524193079330729	5.340764035302285	6.587035796080292	4.456257667324264	6.004027930310067	6.510254436905357	5.308079398405599	5.21814415769199	5.738352910968044	5.262854347295409	6.630286811780941	5.4860145244959275	2.417522553785141	6.228899126014017	5.636936002468577	6.4002377253070435	6.067451913140267	6.175403881268029	6.450872797599144	6.066303699144129	6.873236181592398	6.119305367422498	5.590834015090146	6.5580427386390765	5.383057305597735	5.626837430174506	6.056229699349366	6.0994313922299	6.612971182817452	4.9965620753322035	6.526644169544774	5.685825651836485	5.467736128135031	6.044266358241218	5.1100247706289	6.241237436331199	2.417522553785141	6.1268761996315115	5.649628478925488	5.054411544976995	6.33070651998972	5.347247905279968	6.543415559505492	6.114243191506429	5.246935212366765	5.913237008774471	5.090054053414793	6.202890505411404	6.36386181843823	5.90533277282958	5.461509198501094	5.872145655342811	5.712703567311238	5.686811348232185	6.438600203442896	5.840961491698456	4.668934226806078	4.270860961085573	6.185189917611158	5.912556873205421	5.913324444124295	6.391468715749996	6.344949485732851	6.454594398559554	5.911436225963035	6.5492306695639195	6.56679591965446	5.871122137633254	5.812530230059792	5.851466764450751	5.924064774526592	6.420236386639285	6.171420532003648	5.41617667853927	6.717334726295168	6.434035077479333	6.254833238209525	5.475661203475184	6.746727724673578	6.037901452193925	5.420144654585918	6.185258175689574	6.439370222000088	5.681530568522117	
