mice	mouse:5	mouse:7	mouse:8	mouse:9	mouse:107	mouse:110	mouse:154	mouse:187	mouse:211	mouse:212	mouse:303	mouse:316	mouse:381	mouse:470	mouse:493	mouse:511	mouse:519	mouse:584	mouse:792	mouse:793	mouse:794	mouse:795	mouse:797	mouse:798	mouse:799	mouse:848	mouse:850	mouse:901	mouse:902	mouse:904	mouse:905	mouse:908	mouse:909	mouse:910	mouse:973	mouse:976	mouse:978	mouse:979	mouse:980	mouse:981	mouse:986	mouse:991	mouse:1017	mouse:1370	mouse:1371	mouse:1380	mouse:1390	mouse:1398	mouse:1407	mouse:1408	mouse:1410	mouse:1411	mouse:1413	mouse:1417	mouse:1426	mouse:1438	mouse:1460	mouse:1462	mouse:1463	mouse:1464	mouse:1465	mouse:1466	mouse:1467	mouse:1469	mouse:1472	mouse:1473	mouse:1477	mouse:1478	mouse:1481	mouse:1495	mouse:1499	mouse:1500	mouse:1501	mouse:1503	mouse:1504	mouse:1508	mouse:1509	mouse:1510	mouse:1512	mouse:1514	mouse:1522	mouse:1523	mouse:1524	mouse:1529	mouse:1530	mouse:1531	mouse:1533	mouse:1535	mouse:1537	mouse:1538	mouse:1540	mouse:1543	mouse:1544	mouse:1546	mouse:1547	mouse:1548	mouse:1551	mouse:1552	mouse:1553	mouse:1570	mouse:1571	mouse:1572	mouse:1574	mouse:1575	mouse:1576	mouse:1577	mouse:1579	mouse:1580	mouse:1581	mouse:1600	mouse:1604	mouse:1605	mouse:1617	mouse:1624	mouse:1634	mouse:1635	mouse:1636	mouse:1638	mouse:1641	mouse:1650	mouse:1652	mouse:1665	mouse:1668	mouse:1671	mouse:1674	mouse:1679	mouse:1698	mouse:1701	mouse:1720	mouse:1725	mouse:1729	mouse:1732	mouse:1734	mouse:1739	
mouse:5	6.183243675494753	4.341097250257778	4.406817799312046	4.702624050840361	4.850241174402621	4.700184311958035	4.679146037364218	5.171806004109617	4.875885391661329	4.744846985357052	4.169524588361377	4.290755144293654	4.17777173228175	5.290824230330278	5.104556706730591	4.769241446936542	3.47268405457918	5.130725336365492	4.910878388721793	4.446723246540493	4.870233069703367	4.398487739176988	5.270290520363085	4.541047817484956	4.802687610081477	4.897114251471075	4.7550210106268835	5.199354462917867	4.87613192979121	4.971761972833964	4.8646140652915815	5.160949767873541	5.232090393841331	4.968151092007362	5.023849159006515	5.135806201508165	4.793374860990523	4.9522004169684095	4.7449009952412124	4.8221765913139	4.745483282826227	4.233865813702114	4.904350683573661	4.983061112342607	5.041338866153879	4.688158322817731	4.8082879067599285	4.775660413750542	4.979554770915545	5.251555401357697	4.818361916442828	4.9722256092443455	5.063978789271512	4.485774511979338	4.579666462595734	4.398101677031901	4.987815906315476	4.716052530427191	5.014860366905687	5.321735888165674	4.714593035712621	4.9472136650330425	0.7793543757611616	5.0015479050016065	4.508245365297846	4.771871525856628	4.6992632908486005	5.021610582432427	5.189870658300184	5.048498152304653	5.589293090198295	4.9850354824344745	4.2991292598597886	5.263141827596038	5.094706601904269	5.0811012092806624	5.174028525594602	4.865306437149726	4.655282914745014	4.958015661389025	4.801268393446543	4.645541279087439	4.976848449908868	5.38950626316829	5.2276666932178815	4.867323318326562	0.7793543757611616	4.648765186075067	5.184820587435485	4.8126700882882005	5.017109197364389	5.3633052203079865	4.879990633796902	4.923473596262589	4.8054410597054105	5.011345899204322	4.4611040474082575	4.944787845878221	4.61466936900306	4.587357726380439	4.782750915548701	4.789296793810528	5.072548491967488	4.583473589811	4.6899069470985415	4.564528831860671	5.247646688915699	4.949756210685706	5.076115971383376	5.099493840595068	5.307781706844757	5.270835006311749	4.873101596557047	5.269093379904644	5.3254913798253325	4.83741446029897	4.9103774571868595	5.365725796217424	5.270324378228836	5.248708986669969	4.894616409115372	4.614834488183985	4.872344760445382	4.359008271248998	4.8899717681425745	4.496159723244919	4.822243149162142	5.2764919871254214	4.570937705840234	4.520968356535272	4.6593800604224285	4.406735232389549	4.989977444874258	5.194915159994723	
mouse:7	4.341097250257778	6.1470551328131915	4.610101567162587	3.977783920765167	4.606911604228095	4.419063077999585	4.546152105367575	4.4258718913817034	5.05716511112052	4.967850649756334	3.9032354466054078	4.5564264312211815	3.9431481149323035	4.207092849512511	4.368987632256824	4.2148065695555275	3.141579215909559	4.436384630336352	4.147642710988736	4.197705673270031	4.39387988735632	3.5887103703380134	4.486596352818822	3.559937505318292	4.367682682937366	4.680743083608894	4.897469917975662	5.061839332814342	4.697801717870135	4.162671106729424	4.344237090107981	4.771407736142338	4.621003226232553	4.5891925983806185	4.336705566093661	4.695654958246115	4.400606957730385	3.976390901470155	4.672010069830623	4.602912057406133	4.937148647177985	4.197571376567518	4.403880814685081	4.584085611978849	4.649605210957349	4.397302645782041	4.943189736279063	4.332424203776158	4.445288962098047	4.306744905052046	4.116470041083305	4.683461064915454	4.802232316306104	4.306294643315128	4.39094641192073	4.486586696683597	4.014597208238817	4.120730415526837	4.371570723103286	4.462714079776848	4.5506140135171105	4.893699413079448	0.7793543757611614	4.637476840197974	4.275287470497409	4.889373481667404	4.613241895285914	4.478835707743729	4.826829447746725	4.7416032065790645	4.559183487529828	4.116604087174387	3.8259915424859727	4.713439927429218	4.544118783779263	4.275414815623753	4.9259549887654455	4.781933195211854	4.986567135250706	4.274613408657563	4.911568992562736	4.290322209042319	4.438976772473692	4.4313726122508355	4.104365504668017	4.626068838876039	0.7793543757611614	4.754007740566727	4.345652955733936	4.280413021211548	4.786090338113553	4.458415459335493	4.744458262592099	4.440894921699357	4.217627792702926	4.855753432706333	3.2226123478088713	4.425965520503383	4.636293936527393	4.7974760495060815	4.460815954583934	4.762629888983305	4.347805001466834	4.469510430314918	4.865132951236955	4.77197399397499	4.190429544520093	4.633837165316428	4.576139737791255	4.815558435934141	4.407964327147015	4.27669900434047	4.511668032870893	4.778914238536407	4.458415459335493	4.882860109019264	4.557443544898731	4.713439927429218	4.3771725684311065	4.295301114055276	4.348623579033166	4.5556233352800755	4.255550651806423	4.505825203180489	4.5958760469518705	4.210068144667712	4.125944661954916	4.637266324797671	4.807776212947269	4.365710008352089	3.9054330733419866	4.256389872258437	4.604390879333295	4.366154174150351	
mouse:8	4.406817799312046	4.610101567162587	6.088954938659256	3.746664774931915	4.185454140356175	3.9579717474274467	4.7406407296849356	4.663942500597166	4.366118087094423	4.481634874226492	4.78141956552951	4.618954553496593	4.681469513103705	4.467550694042927	4.620727543069112	4.8869873773453545	3.5842624765709368	4.01895746280482	4.446699043134904	3.9943357077035406	4.080577314905982	3.5307026146811493	4.608235422011781	3.352883292373626	4.4440713696893415	4.6850094604784225	4.8415990032768255	5.05886504855928	4.749156141185934	4.192124279359843	4.532279717578854	4.62957245496427	4.712521092377496	4.417796119228123	3.9365341311523796	4.411025802536312	4.323708325007363	4.1505554621172545	4.948854292137171	4.731818521489463	4.878244357711637	3.601809869406186	4.439794229703523	4.740619903064079	4.811091268262171	4.119421387053266	5.0458741132320615	4.211261352913003	4.540767744055655	3.9871856241437094	4.104711029473216	4.79833122623705	4.77125753693158	3.7419570041117023	4.2225722301283275	4.417796119228123	4.177693485461996	4.114126826568144	4.548164007832465	4.652810701835916	4.346223973360354	4.666223771145126	0.7793543757611615	4.759115909390932	5.057116408409907	4.638971795771846	4.813433684001366	3.9153568507923406	4.772259796462111	4.6673031996550804	4.709142668694221	4.124152873472701	4.507306015300486	4.551653498698952	4.4177958312162176	4.351518082788012	4.89212235926176	4.494336335773018	4.679769920085574	4.420435846266948	4.529798468863911	4.2747754717332125	4.288969200520686	4.6115447778473575	4.353107747747679	4.653438391991994	0.7793543757611615	4.842498084076478	4.181821604908492	4.607237237858205	4.609964618847629	4.608374640499885	4.621805545284521	4.59085410286375	3.697296358244361	4.687949272908389	3.8167319037443908	4.603334561379903	4.3886317826220385	4.6694427877132085	4.329109403552804	4.330669001400664	4.247250009988859	4.314183663289262	4.669317727500349	4.696987899393137	4.375755277478985	4.537611127713518	4.63815634674129	4.809080120731867	4.668422171677431	4.345239681963831	4.5351488805811755	4.534894486308849	4.608374640499884	4.523930050177604	4.455510558825062	4.988927204655135	4.584002058263435	4.085340516059311	4.386219909306654	4.644661122908597	4.020862743266152	4.17205121862873	4.613034953589461	3.9126323172569037	4.622734733924534	4.753304106882007	4.087930626340706	4.504612906291905	3.565660056561393	3.6606283650971037	4.575279601391139	4.551806555079273	
mouse:9	4.702624050840361	3.977783920765167	3.746664774931915	6.289324203182187	4.10848970741711	4.280563186311676	4.887602780881462	4.375542979997156	4.140167826919181	4.5064607869648645	4.189725465076372	3.792326326011694	3.657073867184867	4.534245799792251	4.52126196920004	3.94576525419277	3.5803808268763486	4.96696696945767	4.541097641814256	3.975894500363535	4.607173288080748	4.540200549567101	4.927370675291685	4.383557079618731	4.47132881546308	4.177450249499578	4.2270616178207705	4.65457399535336	4.969672491357905	5.100710565382079	4.809026040004145	4.732676449680765	4.707502838890672	4.942930580489305	4.542625017034284	4.446628144169404	4.702392886755649	4.19304084806865	4.34230161473055	4.450501447868367	4.622552615669308	4.369170270920236	4.33088602097669	4.4243476763811875	4.3423138901627265	4.755168541657312	4.260780469474431	4.425208358316982	4.627083332001009	4.476188160841797	4.967828214702472	4.588744525549922	4.685666139637611	4.47608512100674	4.380247753414438	4.964493260403369	4.879299903852342	4.307934516144963	4.473706666305317	4.5171692680964295	4.322470875857856	4.523753177731457	0.7793543757611616	4.519550278028327	4.6082119108038535	4.368335388371616	4.9050969810403355	4.396445959061245	4.5644970890918835	4.666991590149093	4.909671127265938	5.337327136793098	4.017862033622414	4.80226779415305	4.536426508445863	4.505156461481522	4.282549980074579	4.228582604523353	4.543532721459734	4.1403444387587935	4.417087531161229	4.962006348375035	4.8808840250925325	4.680767519723732	4.732132657702316	4.631325534490163	0.7793543757611616	4.426082667812526	4.806498883760183	4.1409277981253165	4.600394444929345	5.19718901976397	5.052336431731968	4.781183425717324	3.7518789620436483	4.591343416200443	4.225910826602901	4.632886886562554	4.266409658604228	4.313304767018059	4.928180522339618	4.379168060446345	4.417946930252097	4.705837237065129	4.732699667635137	4.408315023076773	4.620725691013648	4.617825780452851	4.699872349822828	4.564497691849202	4.8791872396679326	4.495097255853402	4.309779654806388	4.486079221006108	4.753493428451671	4.505272303112999	4.892500208129875	4.4356036506638485	4.671077386745464	4.716941097083872	4.684772164645892	4.404272978419579	4.57506744699353	4.52063339938328	4.820702745241513	4.643719371636166	4.290035348319084	4.56565391504674	4.790449164828525	4.83543857900907	4.5088739042126065	4.622212308940767	4.7065520643885685	4.812758947162239	
mouse:107	4.850241174402621	4.606911604228095	4.185454140356175	4.10848970741711	6.062206103636349	4.69762182459958	4.2967498630715815	4.475194580551779	4.344758046025929	4.906157585690403	4.026078314936297	4.31652801822637	3.7237220769799797	4.822255432104582	4.5841883292906305	4.889892576461312	3.6671943790494517	4.210150581325271	4.420567451192818	4.004337753273013	3.977463107591737	3.9733824279179393	4.57472364068047	3.677792956085307	4.6905884275985015	4.622579886965365	4.657240916437903	4.637376285216232	4.5779204716962605	4.222193627976995	4.246068530795896	4.8963451670415505	4.6853834122411975	4.3346602695883	4.296696781315241	4.736154407068685	4.553944254123076	4.252576369355377	4.8167743437081	4.704238406414397	4.498584981798141	4.132833361274884	4.3541123538787225	4.434259155112079	4.88513428819779	4.647395607489933	4.924725298755641	4.451090978529879	4.449245862544241	4.863627762070731	4.273614522034768	4.385347631633595	4.489664931974637	4.316097745888724	4.412661714522594	4.232054367891277	4.675779608470307	4.384121566042478	4.384132992256767	4.619076110922864	4.838949465296345	4.694862539550616	0.7793543757611615	4.680345061153138	4.045269641672821	4.579996842298558	4.689550970922147	4.301391333922599	4.6660850132397425	4.768987965054585	4.761893307266265	4.39535521735103	4.405461770797719	4.856164022415741	4.748042044425581	4.401276544496001	4.986921901891721	4.608121954001593	4.766386277429894	4.218998507061566	4.582588672147115	4.323888848969299	4.388645795270781	4.62373833189689	4.203506586588383	4.637521535939591	0.7793543757611615	4.585557675006664	4.709221550095561	4.591300739727187	4.86255210911707	4.752053445751045	4.604473340119982	4.4894237112163085	4.394523294742704	4.772229076695584	3.9489526950963496	4.685344204781025	4.515537452700324	4.568012396065767	4.497867174673482	4.285192363692589	4.183165901341635	4.603294980243318	4.732965045452699	4.526582317701351	4.466703511575999	4.581815140515332	4.592308861812358	4.603240027573026	4.701602313562569	4.431028703293805	4.8063512244595055	5.007954494866539	4.6476437442396445	4.685021671402371	4.740622422768446	4.7031920934629765	4.616312342352229	4.593804556482382	4.825721346312019	4.268925940723715	4.643831464879398	4.276361549740175	4.824916303282002	4.419788609955283	4.565907722263608	4.926572827774651	4.482336199689717	4.572432349769086	3.9125635859406467	4.191651856965802	4.706545438425028	4.907886983328551	
mouse:110	4.700184311958035	4.419063077999585	3.9579717474274467	4.280563186311676	4.69762182459958	6.121848917418612	4.0288588142889425	3.9935636748883248	4.841204923967698	5.27100002062947	3.984009258506862	4.24754392908185	3.5325596091753546	4.484427048451915	4.892191155723117	4.231367467597742	3.4192922425297594	4.684246372191886	4.124011080955857	4.775870012148497	4.567125989883661	3.627022184141806	4.354390871552244	3.4874074994865554	4.490129671584105	4.349785566600551	4.811615305152246	4.63776268396898	4.702333793283019	4.195467301556196	4.25965401048967	4.855993832175929	4.693861804810366	4.475916955775361	4.179198444792075	4.904290614709417	4.879557013833483	4.424172011371856	4.512665383806706	4.5104936202428805	4.5960566145195445	4.2144498199155045	4.767297010413002	4.47649192826742	5.026390538051526	4.9573881682866	4.742238285601539	4.54614595258805	4.166871486519289	4.320799582347326	4.218908578092027	4.354242987976914	4.980907627709608	4.135382110524481	4.729928193578077	4.9595518916408095	4.353012918304769	4.229556440664929	4.550504904762562	4.773251815415215	4.84446601796073	4.8822977248906865	0.7793543757611615	4.823262992628074	4.06502301456989	5.109127471993695	4.49580618475063	4.771896535273168	4.909101022242702	4.730792331255561	4.771788177166531	4.431309525264913	4.020707337272678	5.06883317846935	4.444900871111416	4.5282108975096875	5.087943030612288	4.503565074918972	4.791551903280979	4.2123326057926125	4.761743568216621	4.16216005815494	4.265230211905253	4.80283168566704	3.794272113979897	4.96799028617173	0.7793543757611615	4.630160725632059	4.892142202800445	4.390973892457518	4.8611892059999215	4.558308659579529	4.617773984268405	4.733075343096315	4.826221018590751	4.866458087769586	4.304656993073498	4.657567313143827	4.3698261099258335	4.831864671125599	4.334469241451318	4.694859858169198	4.431971863676994	4.707372349547522	4.709991621941732	4.642793919628444	4.398835254457007	4.431344122718388	4.724955909306845	4.758464271467478	5.146768219241645	4.7361171330678875	5.000965695323121	5.033057418763198	4.466825873493351	4.884923787950793	4.672291470380882	4.6602645614385265	4.616943492447289	4.538400519520039	4.787225085625	4.431776320345408	4.746696715912798	4.540213824800007	4.642429290127901	4.507885246334956	4.4402339983542625	4.864025719887845	4.849510761891867	4.500242510188169	3.829801173950652	4.502825441763083	4.69920794266644	4.479913775092636	
mouse:154	4.679146037364218	4.546152105367575	4.7406407296849356	4.887602780881462	4.2967498630715815	4.0288588142889425	6.195161796533935	5.084071690417145	4.4356914489487345	4.422925327781486	4.408079917243551	4.155139673891025	4.461376202692934	5.078467288650142	4.244640310646448	4.737645983961794	3.798698979796123	4.627985231862681	3.970008485736848	4.1231862690659575	4.488407970938169	4.612556918907734	5.120437201383788	4.092334480044999	4.959094329609368	4.946302742778819	4.700898549808652	5.153698710502056	5.465952663188471	4.636484244722058	4.824771735064317	4.961170305121525	4.846546609013073	4.727514653113301	4.04371556271505	4.190828159986989	4.711237850792619	4.175532962493753	4.853245972004768	4.899192667349302	5.15742838669855	4.170269923588143	4.780950793115501	4.3450394751568275	4.540163153891411	4.381717382957726	4.572340392282618	4.245682078931986	5.059067577898956	4.274067701155914	4.822891000727418	5.106354484563328	4.698676914495655	4.517289538490383	4.523759049449938	5.015505897827055	5.106463355893297	4.615196417047835	4.625869131973232	4.566565264770462	4.264392079562247	4.636353610035751	0.7793543757611615	4.997528058879005	5.218930276393362	4.557254537287072	5.327190875426682	4.286388373521995	4.714345373908028	4.383551353497701	4.641306907962241	4.393283828119239	4.249216650839576	4.724283101452475	5.1126998206929795	4.225982614758686	4.585769339092505	4.510341850629994	4.44186054045597	4.031746377170773	4.736662668399264	4.7155903118695	4.950219069525539	4.586717098960333	4.713202796218775	4.599778059033611	0.7793543757611615	4.8823003357553	4.586199435019648	4.3842834258356955	4.761990552419645	5.156788242589171	5.0927371919547895	4.904015369597074	3.7399566725997655	4.532595972963705	3.964874621356064	4.5689104653016015	4.968500056323042	4.701951782124144	5.044517910612612	4.550610779670686	4.133290396238362	4.896949962246879	4.979359189650253	4.7894766323402065	4.7266575481260436	4.2572894035414075	4.68985992681179	4.4625457684295124	4.653379566788318	4.167256947274533	4.466637115758617	4.406926979808075	4.5405388797679045	4.865633780712184	4.639064773931823	4.837850188848058	4.7975555468120605	4.43164874728101	4.846349680757584	4.8705771625492105	4.717320528479815	4.587945707846845	4.896024163369005	4.327761433111629	4.5008367964013924	4.6380403582616285	4.666607240537444	4.934412451480833	3.954665221959138	4.527268517265565	4.625107369788134	4.936137324967626	
mouse:187	5.171806004109617	4.4258718913817034	4.663942500597166	4.375542979997156	4.475194580551779	3.9935636748883248	5.084071690417145	6.001713176023569	4.601104943397717	4.199248254902756	4.158707732927356	4.6177621206576625	4.485750594277016	4.94712074356015	4.788789252760248	4.833527288703665	3.6171823755959656	4.803865974975218	4.725124823493168	3.8706467559731013	4.8156439913000195	4.311269862971677	5.336781126741848	4.413404354668367	4.675148221513032	5.0527213392402075	4.7135388831615455	5.120296891319245	4.722646030203575	4.937919915617179	4.6442853008829275	4.928476287510781	4.979832358783044	4.329129602322082	4.549929154475621	4.484058708693299	4.495090874072738	4.45408727228954	4.5579230774941095	4.449096345551088	4.941820506227925	4.468359566604634	4.530535019379512	4.8405876623389155	4.715313849963004	4.220633491457269	4.445778543801739	4.618955802852147	4.989267954067907	4.6727836378933745	4.725741889976324	4.989896204827808	4.673869832436146	4.402159483484812	4.083522477359276	3.9996726440465444	4.928954970735471	4.38814468772247	5.150424098877963	5.084785072720916	4.268078814015945	4.794660423124779	0.7793543757611616	4.84454146760351	4.658212513832618	4.316207431316679	4.6066756521156185	4.328345100264167	4.761511539360713	4.7758159045251976	5.12482073846415	4.8016173802159035	4.021241169116946	4.785693242547785	5.198047407135173	4.503917823181075	4.751182833541487	4.62302710582112	4.538993771710799	4.4232398675787525	4.521819065212613	4.340281779511896	4.691231211318912	5.054399207464652	4.8428151440667	4.830618105831167	0.7793543757611616	4.406206855936945	4.7709707348359025	4.769327276111911	4.713667902751212	5.179417260726877	4.676578424185127	4.476537612366462	3.8662979804297226	4.494546161941149	4.042591226242399	4.638512056781831	4.215438492833474	4.587375568760367	4.659377735493633	4.266079627678716	4.434861789843116	4.391576736388231	4.575514790587125	4.56678028434145	5.042875918981178	4.791482852168817	4.660969075835449	4.9582054798184085	4.679183115030269	4.694732818146832	4.301944478172791	4.504060211062904	5.1462032791967065	4.66681587439499	4.5003107392545125	5.211201755917768	5.095703039998172	4.845833282259484	4.8546494246593195	4.121824393198442	4.941485838438257	4.611391824215569	4.706567636058936	4.397415817648579	4.575360524661248	4.801901036620221	4.354106999677791	4.3466863255650825	4.699733090224384	4.450145529644441	4.507707713336417	5.060027610644283	
mouse:211	4.875885391661329	5.05716511112052	4.366118087094423	4.140167826919181	4.344758046025929	4.841204923967698	4.4356914489487345	4.601104943397717	6.147775506758165	4.937432705454294	3.917677822646848	4.871225464099965	3.740040189535534	4.540276399531244	5.296891866587689	4.036982419212269	3.2302477717905127	4.947404189703366	4.455044831873	5.210549361235919	4.90289115589864	4.15335825592528	4.744294710823146	3.9118529881992843	4.737981287467127	4.947743257626996	5.143755496056558	5.083404832676278	4.996806502868193	4.49709956741834	4.505525554773438	4.718417396425968	4.637291410948843	4.5862208431873785	4.7528926919905405	5.279368488431494	4.861529996995188	4.624116601616927	4.5847750156058975	4.665915945977765	4.855169202638505	4.685138353554789	4.599101234222304	4.599298761422185	5.096609379192326	4.697520619811066	4.868209654813098	4.6068712569002335	4.433202892048037	4.447573507644185	4.370923291685767	4.582408211274776	5.49552879189239	4.594569980054247	5.103710471559173	4.540192703230991	4.284716052688006	4.36261611895023	4.778876199366755	4.818866074587344	4.69638811321601	5.292062423430139	0.7793543757611616	4.950752676515945	4.0495959771317445	5.189635568004983	4.414061101865467	4.9133552610956075	5.401386510633786	5.127398846786898	5.049986836642641	4.356840416766454	3.7070921076435415	4.888376789538032	4.6714887957510856	4.758274911137626	5.5166603024281855	4.560135803690389	5.294805824219877	4.854657662651963	4.963411153725994	4.131405596793643	4.536179341788193	5.003666521487638	4.2414215253673095	5.0447566098082275	0.7793543757611616	4.777656814910792	5.001566075866361	4.775985178942556	4.755244937888044	4.6539358992788955	4.813217815357681	5.161974673527958	4.486866148712003	4.8916038509901245	3.4553181809378604	4.555346705063787	4.418487319090974	4.975231452007226	4.467509736791415	4.9692555521466755	5.031656343962034	4.687904077259739	5.137249141874802	5.102739049173722	4.596952981995035	4.66059716092934	4.824915766927281	5.174627167533602	4.957440910657523	4.880202931228748	4.911626692988888	5.1369220502456905	4.653935899278895	4.793192558415379	4.487731360677834	5.12000445160435	4.733324563241602	4.832387240491919	4.570443372199504	4.657605987109666	4.6981300074730985	4.641656221949767	4.631757048658162	4.40218446983434	4.081591576138	5.065545540338878	5.181025085290061	4.468617155655034	4.478706363665924	4.948420686308319	4.734940962051981	4.544751356020699	
mouse:212	4.744846985357052	4.967850649756334	4.481634874226492	4.5064607869648645	4.906157585690403	5.27100002062947	4.422925327781486	4.199248254902756	4.937432705454294	6.141634003461032	4.059708778005373	4.539195601870967	3.8537873909164952	4.430666087805873	4.964662261092194	4.3757309473763115	3.2839575669769356	4.731354327069216	4.416817424527146	4.609519228149671	4.482087304914522	3.7157103566642897	4.767792496930374	3.621908521038817	4.466554648461324	4.5533865937538724	5.028850666064388	5.1746436337232	4.994341924594798	4.498524267405848	4.4832877683752095	5.172538288225292	4.938461502028874	4.892524809204994	4.44960203109168	5.022078120787432	4.947894313551103	4.267737676849104	4.903792537702744	4.899452264130796	5.041991613581187	4.314115303253521	4.67920529135694	4.788434978766752	5.128670311424374	4.885027589450331	5.269612898820381	4.630446936949729	4.541702280201141	4.538527372924166	4.608958185904925	4.796265365824313	5.089884813208895	4.402947776692052	5.0318864951690205	4.789918907507973	4.554505838030249	4.420201173371762	4.454670960780234	4.754060855155797	5.3075407138657695	5.206680678624796	0.7793543757611614	4.928823615576922	4.5662773990037255	5.170569625778954	4.909782102010577	4.83234300311717	5.224239942100599	5.055838980111	5.10041458722414	4.663891442995105	4.151233400082491	5.397459588526958	4.66198938846445	4.5003513197354685	5.28905268799084	4.785473915825456	5.103111061936707	4.499549912769277	5.001357968041495	4.60198100468479	4.555520699159695	4.757795774792152	4.169172738122104	5.138793856829149	0.7793543757611614	4.858850706969929	5.028061818999282	4.376826339314642	5.327321437807864	4.79518272196719	5.032110759494891	4.753876187244707	5.015997310206502	5.173211708502654	3.718074688902886	5.082881439503385	4.749098237436252	4.905993477988816	4.562474387184873	4.861501854507264	4.4494634340677734	4.957235373983206	5.156168402942761	4.871796076156466	4.267449111468122	4.7336592474979025	4.837973732098568	4.9115216309222625	4.949195426841326	4.787468544268716	4.847521193547317	5.361683828820806	4.782628488472577	5.192474108913714	4.906278924302539	4.968714743494613	4.668519343810055	4.854203134499266	4.872252159693836	4.660466301683277	4.970250577807871	4.614342631663225	4.958973746177264	4.657736300916712	4.712831980795034	5.106351625046039	5.173893715625976	4.702477270983786	4.015288262226178	4.614572879109344	5.1293032862957855	4.874918941694412	
